iata_code,airport_name,latitude,longitude,elevation_ft,city,station_id,station_name,mindate,maxdate,distance
ABE,Lehigh Valley International Airport,40.652,-75.441,393,Allentown,WBAN:14737,"ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US",1/1/1948,3/23/2020,0.616
ABI,Abilene Regional Airport,32.411,-99.682,1791,Abilene,WBAN:13962,"ABILENE REGIONAL AIRPORT, TX US",8/1/1946,3/23/2020,0.059
ABQ,Albuquerque International Sunport,35.04,-106.609,5355,Albuquerque,WBAN:23050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",7/1/1941,3/23/2020,0.629
ABR,Aberdeen Regional Airport,45.449,-98.422,1302,Aberdeen,WBAN:14929,"ABERDEEN REGIONAL AIRPORT, SD US",1/1/1948,3/23/2020,0.933
ABY,Southwest Georgia Regional Airport,31.535,-84.195,197,Albany,WBAN:13869,"ALBANY SW GEORGIA REGIONAL AIRPORT, GA US",1/1/1948,3/23/2020,0.082
ACK,Nantucket Memorial Airport,41.253,-70.06,47,Nantucket,WBAN:14756,"NANTUCKET MEMORIAL AIRPORT, MA US",1/1/1948,3/23/2020,0.07
ACT,Waco Regional Airport,31.611,-97.23,516,Waco,WBAN:13959,"WACO REGIONAL AIRPORT, TX US",5/14/1942,3/23/2020,0.889
ACV,California Redwood Coast-Humboldt County Airport,40.978,-124.109,221,Arcata/Eureka,WBAN:24283,"ARCATA EUREKA AIRPORT, CA US",12/1/1949,3/23/2020,0.033
ACY,Atlantic City International Airport,39.458,-74.577,75,Atlantic City,WBAN:93730,"ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US",1/1/1947,3/23/2020,1.088
ADK,Adak Airport,51.878,-176.646,18,Adak Island,WBAN:25704,"ADAK AIRPORT, AK US",10/30/1942,3/23/2020,0
ADQ,Kodiak Airport,57.75,-152.494,78,Kodiak,WBAN:25501,"KODIAK AIRPORT, AK US",1/1/1945,3/23/2020,0.521
AEX,Alexandria International Airport,31.327,-92.55,89,Alexandria,WBAN:93915,"ALEXANDRIA INTERNATIONAL AIRPORT, LA US",10/1/2001,3/23/2020,1.185
AGS,Augusta Regional At Bush Field,33.37,-81.965,144,Augusta,WBAN:03820,"AUGUSTA BUSH FIELD AIRPORT, GA US",1/1/1948,3/23/2020,0.641
AKN,King Salmon Airport,58.677,-156.649,73,King Salmon,WBAN:25503,"KING SALMON AIRPORT, AK US",1/10/1942,3/23/2020,0.782
ALB,Albany International Airport,42.748,-73.802,285,Albany,WBAN:14735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/1/1945,3/23/2020,0.251
ALO,Waterloo Regional Airport,42.557,-92.4,873,Waterloo,WBAN:94910,"WATERLOO MUNICIPAL AIRPORT, IA US",1/1/1949,3/23/2020,0.303
ALW,Walla Walla Regional Airport,46.095,-118.288,1194,Walla Walla,WBAN:24160,"WALLA WALLA REGIONAL AIRPORT, WA US",9/1/1941,3/23/2020,0.088
AMA,Rick Husband Amarillo International Airport,35.219,-101.706,3607,Amarillo,WBAN:23047,"AMARILLO AIRPORT, TX US",3/1/1943,3/23/2020,1.176
ANC,Ted Stevens Anchorage International Airport,61.174,-149.996,152,Anchorage,WBAN:26491,"ANCHORAGE LAKE HOOD SEA PLANE BASE, AK US",1/1/2002,3/23/2020,1.656
APF,Naples Municipal Airport,26.153,-81.775,8,Naples,WBAN:12897,"NAPLES MUNICIPAL AIRPORT, FL US",1/1/1999,3/23/2020,0.222
APN,Alpena County Regional Airport,45.078,-83.56,690,Alpena,WBAN:94849,"ALPENA CO REGIONAL AIRPORT, MI US",9/1/1959,3/23/2020,0.791
ART,Watertown International Airport,43.992,-76.022,325,Watertown,WBAN:94790,"WATERTOWN AIRPORT, NY US",5/1/1949,3/23/2020,0.502
ASE,Aspen-Pitkin Co/Sardy Field,39.223,-106.869,7820,Aspen,WBAN:93073,"ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US",1/1/2005,3/23/2020,0.789
ATL,Hartsfield Jackson Atlanta International Airport,33.637,-84.428,1026,Atlanta,WBAN:13874,"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US",1/1/1945,3/23/2020,1.492
ATW,Appleton International Airport,44.258,-88.519,918,Appleton,WBAN:04825,"APPLETON OUTAGAMIE CO AIRPORT, WI US",1/1/2005,3/23/2020,0.981
ATY,Watertown Regional Airport,44.914,-97.155,1749,Watertown,WBAN:14946,"WATERTOWN REGIONAL AIRPORT, SD US",1/1/1948,3/23/2020,1.124
AUS,Austin Bergstrom International Airport,30.194,-97.67,542,Austin,WBAN:13904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/1/1949,3/23/2020,1.539
AVL,Asheville Regional Airport,35.436,-82.542,2165,Asheville,WBAN:03812,"ASHEVILLE AIRPORT, NC US",1/1/1948,3/23/2020,0.611
AVP,Wilkes Barre Scranton International Airport,41.339,-75.723,962,Wilkes-Barre/Scranton,WBAN:14777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/1/1949,3/23/2020,0.683
AZA,Phoenix-Mesa-Gateway Airport,33.308,-111.655,1382,Phoenix,WBAN:23104,"PHOENIX WILLIAMS GATEWAY AIRPORT, AZ US",3/1/1942,3/23/2020,1.403
AZO,Kalamazoo Battle Creek International Airport,42.235,-85.552,874,Kalamazoo,WBAN:94815,"KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US",1/1/2005,3/23/2020,0.031
BDL,Bradley International Airport,41.939,-72.683,173,Hartford,WBAN:14740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",9/12/1941,3/23/2020,0.19
BET,Bethel Airport,60.78,-161.838,126,Bethel,WBAN:26615,"BETHEL AIRPORT, AK US",1/1/1945,3/23/2020,0.731
BFF,Western Neb. Rgnl/William B. Heilig Airport,41.874,-103.596,3967,Scottsbluff,WBAN:24028,"SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US",1/13/1943,3/23/2020,0.462
BFL,Meadows Field,35.434,-119.057,510,Bakersfield,WBAN:23155,"BAKERSFIELD AIRPORT, CA US",10/1/1941,3/23/2020,0.258
BFM,Mobile Downtown Airport,30.627,-88.068,26,Mobile,WBAN:13838,"MOBILE DOWNTOWN AIRPORT, AL US",7/1/1942,3/23/2020,0.068
BGM,Greater Binghamton/Edwin A Link field,42.209,-75.98,1636,Binghamton,WBAN:04725,"BINGHAMTON GREATER AP, NY US",1/1/1948,3/23/2020,0.244
BGR,Bangor International Airport,44.807,-68.828,192,Bangor,WBAN:14606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/1/1941,3/23/2020,1.269
BHM,Birmingham-Shuttlesworth International Airport,33.563,-86.754,650,Birmingham,WBAN:13876,"BIRMINGHAM AIRPORT, AL US",8/1/1942,3/23/2020,0.883
BIL,Billings Logan International Airport,45.808,-108.543,3652,Billings,WBAN:24033,"BILLINGS INTERNATIONAL AIRPORT, MT US",5/1/1935,3/23/2020,0.137
BIS,Bismarck Municipal Airport,46.773,-100.746,1661,Bismarck,WBAN:24011,"BISMARCK MUNICIPAL AIRPORT, ND US",7/1/1936,3/23/2020,1.013
BJI,Bemidji Regional Airport,47.509,-94.934,1391,Bemidji,WBAN:14958,"BEMIDJI MUNICIPAL AIRPORT, MN US",1/1/2005,3/23/2020,0.774
BKG,Branson Airport,36.532,-93.201,1302,Branson,WBAN:00207,"BRANSON AIRPORT, MO US",2/1/2009,3/23/2020,0.143
BLI,Bellingham International Airport,48.793,-122.538,170,Bellingham,WBAN:24217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",1/1/1948,3/23/2020,0.114
BLV,Scott AFB/Midamerica Airport,38.545,-89.835,459,Belleville,WBAN:13802,"BELLEVILLE SCOTT AFB, IL US",1/1/1938,3/23/2020,1.421
BMI,Central Illinois Regional Airport at Bloomington-Normal,40.477,-88.916,871,Bloomington/Normal,WBAN:54831,"BLOOMINGTON NORMAL AIRPORT, IL US",1/2/2005,3/23/2020,2.181
BNA,Nashville International Airport,36.125,-86.678,599,Nashville,WBAN:13897,"NASHVILLE INTERNATIONAL AIRPORT, TN US",1/1/1948,3/23/2020,1.213
BOI,Boise Air Terminal/Gowen Field,43.564,-116.223,2871,Boise,WBAN:24131,"BOISE AIR TERMINAL, ID US",1/1/1931,3/23/2020,1.156
BOS,General Edward Lawrence Logan International Airport,42.364,-71.005,20,Boston,WBAN:14739,"BOSTON, MA US",11/21/1943,3/23/2020,0.541
BPT,Southeast Texas Regional Airport,29.951,-94.021,15,Beaumont/Port Arthur,WBAN:12917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",7/1/1948,3/23/2020,0.065
BQK,Brunswick Golden Isles Airport,31.259,-81.466,26,Brunswick,WBAN:53883,"BRUNSWICK GLYNCO JETPORT AIRPORT, GA US",1/1/2005,3/23/2020,0.016
BQN,Rafael Hernandez International Airport,18.495,-67.135,66,Puerto Rico,WBAN:11603,"BORINQUEN AIRPORT, US",1/1/2006,3/30/2020,0
BRD,Brainerd Lakes Regional Airport,46.398,-94.138,1232,Brainerd,WBAN:94938,"BRAINERD CROW WING CO AIRPORT, MN US",1/1/2005,3/23/2020,0.879
BRO,Brownsville South Padre Island International Airport,25.907,-97.426,22,Brownsville,WBAN:12919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",1/1/1947,3/23/2020,0.842
BRW,Wiley Post Will Rogers Memorial Airport,71.285,-156.766,44,UtqiaÄ¡vik,WBAN:27502,"BARROW AIRPORT, AK US",1/1/1945,3/23/2020,0
BTM,Bert Mooney Airport,45.955,-112.497,5550,Butte,WBAN:24135,"BUTTE BERT MOONEY AIRPORT, MT US",1/1/1948,3/23/2020,1.114
BTR,Baton Rouge Metropolitan Airport,30.533,-91.15,70,Baton Rouge,WBAN:13970,"BATON ROUGE METRO AIRPORT, LA US",1/1/1942,3/23/2020,0.553
BTV,Burlington International Airport,44.472,-73.153,335,Burlington,WBAN:14742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",1/1/1948,3/23/2020,0.479
BUF,Buffalo Niagara International Airport,42.94,-78.732,728,Buffalo,WBAN:14733,"BUFFALO NIAGARA INTERNATIONAL, NY US",2/1/1942,3/23/2020,0.323
BUR,Bob Hope Airport,34.201,-118.359,778,Burbank,WBAN:23152,"BURBANK GLENDALE PASADENA AIRPORT, CA US",6/1/1943,3/23/2020,0.147
BWI,Baltimore/Washington International Thurgood Marshall Airport,39.175,-76.668,146,Baltimore,WBAN:93721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",1/1/1945,3/23/2020,1.395
BZN,Gallatin Field,45.778,-111.153,4473,Bozeman,WBAN:24132,"BOZEMAN GALLATIN FIELD AIRPORT, MT US",1/1/1948,3/23/2020,1.266
CAE,Columbia Metropolitan Airport,33.939,-81.119,236,Columbia,WBAN:13883,"COLUMBIA METROPOLITAN AIRPORT, SC US",4/24/1942,3/23/2020,0.375
CAK,Akron Canton Regional Airport,40.916,-81.442,1228,Akron,WBAN:14895,"AKRON CANTON AIRPORT, OH US",7/1/1948,3/23/2020,0.265
CBM,Columbus Air Force Base,33.644,-88.444,219,Columbus,WBAN:13825,"COLUMBUS AFB, MS US",3/1/1942,3/23/2020,0.868
CDC,Cedar City Regional Airport,37.701,-113.099,5622,Cedar City,WBAN:93129,"CEDAR CITY AIRPORT, UT US",11/1/1948,3/23/2020,0.936
CDV,Merle K (Mudhole) Smith Airport,60.492,-145.478,54,Cordova,WBAN:26410,"CORDOVA AIRPORT, AK US",6/11/1942,3/23/2020,1.521
CEC,Jack Mc Namara Field Airport,41.78,-124.237,61,Crescent City,WBAN:24286,"CRESCENT CITY MCNAMARA AIRPORT, CA US",10/15/1949,3/23/2020,0.041
CGI,Cape Girardeau Regional Airport,37.225,-89.571,342,Cape Girardeau,WBAN:03935,"CAPE GIRARDEAU MUNICIPAL AIRPORT, MO US",1/1/1973,3/23/2020,0.05
CHA,Lovell Field,35.035,-85.204,683,Chattanooga,WBAN:13882,"CHATTANOOGA AIRPORT, TN US",1/1/1948,3/23/2020,0.359
CHO,Charlottesville Albemarle Airport,38.139,-78.453,639,Charlottesville,WBAN:93736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",4/20/1961,3/23/2020,0.262
CHS,Charleston Air Force Base-International Airport,32.899,-80.04,46,Charleston,WBAN:13880,"CHARLESTON INTL. AIRPORT, SC US",1/1/1945,3/23/2020,0.085
CIC,Chico Municipal Airport,39.795,-121.858,240,Chico,WBAN:93203,"CHICO ARMY FLYING SCHOOL, CA US",2/25/2005,3/23/2020,0.882
CID,The Eastern Iowa Airport,41.885,-91.711,869,Cedar Rapids,WBAN:14990,"CEDAR RAPIDS MUNICIPAL AIRPORT, IA US",1/1/1973,3/23/2020,0.502
CIU,Chippewa County International Airport,46.251,-84.472,800,Sault Ste Marie,WBAN:04869,"CHIPPEWA INTERNATIONAL AIRPORT, MI US",1/1/2005,3/23/2020,0.426
CKB,North Central West Virginia Airport,39.297,-80.228,1217,Clarksburg,WBAN:03802,"CLARKSBURG BENEDUM AIRPORT, WV US",1/1/2005,3/23/2020,0.177
CLD,Mc Clellan-Palomar Airport,33.128,-117.28,331,Carlsbad,WBAN:03177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/1/2005,3/23/2020,0.053
CLE,Cleveland Hopkins International Airport,41.412,-81.85,791,Cleveland,WBAN:14820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/1/1948,3/23/2020,0.719
CLL,Easterwood Field,30.589,-96.364,320,College Station,WBAN:03904,"COLLEGE STATION EASTERWOOD FIELD, TX US",8/1/1951,3/23/2020,0.072
CLT,Charlotte Douglas International Airport,35.214,-80.943,748,Charlotte,WBAN:13881,"CHARLOTTE DOUGLAS AIRPORT, NC US",7/22/1941,3/23/2020,1.539
CMH,John Glenn Columbus International Airport,39.998,-82.892,815,Columbus,WBAN:14821,"PORT COLUMBUS INTERNATIONAL AIRPORT, OH US",4/1/1945,3/23/2020,1.516
CMI,University of Illinois Willard Airport,40.039,-88.278,755,Champaign/Urbana,WBAN:94870,"CHAMPAIGN URBANA WILLARD AIRPORT, IL US",1/1/2005,3/23/2020,0.082
CMX,Houghton County Memorial Airport,47.168,-88.489,1095,Hancock,WBAN:14858,"HANCOCK HOUGHTON CO AIRPORT, MI US",1/1/1948,3/23/2020,0.068
CNY,Canyonlands Field,38.755,-109.755,4557,Moab,WBAN:93075,"MOAB CANYONLAND AIRPORT, UT US",1/1/2005,3/23/2020,0.875
COD,Yellowstone Regional Airport,44.52,-109.024,5102,Cody,WBAN:24045,"CODY MUNICIPAL AIRPORT, WY US",1/1/2005,3/23/2020,0.69
COS,City of Colorado Springs Municipal Airport,38.806,-104.701,6187,Colorado Springs,WBAN:93037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",9/1/1942,3/23/2020,1.096
COU,Columbia Regional Airport,38.818,-92.22,889,Columbia,WBAN:03945,"COLUMBIA REGIONAL AIRPORT, MO US",11/1/1969,3/23/2020,0.192
CPR,Casper-Natrona County International Airport,42.908,-106.464,5350,Casper,WBAN:24089,"CASPER NATRONA CO AIRPORT, WY US",1/1/1940,3/23/2020,1.384
CRP,Corpus Christi International Airport,27.77,-97.501,44,Corpus Christi,WBAN:12924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",8/1/1946,3/23/2020,1.122
CRW,Yeager Airport,38.373,-81.593,981,Charleston,WBAN:13866,"CHARLESTON YEAGER AIRPORT, WV US",2/1/1949,3/23/2020,0.757
CSG,Columbus Metropolitan Airport,32.516,-84.939,397,Columbus,WBAN:93842,"COLUMBUS METROPOLITAN AIRPORT, GA US",1/1/1948,3/23/2020,0.259
CVG,Cincinnati Northern Kentucky International Airport,39.049,-84.668,896,Cincinnati,WBAN:93814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/1/1948,3/23/2020,0.637
CWA,Central Wisconsin Airport,44.778,-89.667,1277,Mosinee,WBAN:94890,"MOSINEE, WI US",2/24/2005,3/23/2020,0.593
CYS,Cheyenne Regional Jerry Olson Field,41.156,-104.812,6159,Cheyenne,WBAN:24018,"CHEYENNE WSFO AIRPORT, WY US",1/1/1948,3/23/2020,0.468
DAB,Daytona Beach International Airport,29.18,-81.058,34,Daytona Beach,WBAN:12834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",1/1/1948,3/23/2020,0.993
DAL,Dallas Love Field,32.847,-96.852,487,Dallas,WBAN:13960,"DALLAS FAA AIRPORT, TX US",7/26/1946,3/23/2020,0.635
DAY,James M Cox Dayton International Airport,39.902,-84.219,1009,Dayton,WBAN:93815,"DAYTON INTERNATIONAL AIRPORT, OH US",1/1/1948,3/23/2020,0.49
DBQ,Dubuque Regional Airport,42.402,-90.71,1077,Dubuque,WBAN:94908,"DUBUQUE REGIONAL AIRPORT, IA US",2/1/1951,3/23/2020,0.705
DCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,Washington,WBAN:13743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/1/1936,3/30/2020,0
DEN,Denver International Airport,39.862,-104.673,5431,Denver,WBAN:03017,"DENVER INTERNATIONAL AIRPORT, CO US",11/13/1974,3/23/2020,3.503
DFW,Dallas Fort Worth International Airport,32.897,-97.038,607,Dallas-Fort Worth,WBAN:03927,"DAL FTW WSCMO AIRPORT, TX US",5/1/1953,3/23/2020,1.789
DHN,Dothan Regional Airport,31.321,-85.45,401,Dothan,WBAN:13839,"DOTHAN REGIONAL AIRPORT, AL US",1/1/2005,3/23/2020,0.477
DIK,Dickinson Theodore Roosevelt Regional Airport,46.797,-102.802,2592,Dickinson,WBAN:24012,"DICKINSON THEODORE ROOSEVELT REGIONAL AIRPORT, ND US",12/1/1948,3/23/2020,0.453
DLG,Dillingham Airport,59.045,-158.505,81,Dillingham,WBAN:25513,"DILLINGHAM AIRPORT, AK US",2/25/2005,3/23/2020,0.872
DLH,Duluth International Airport,46.842,-92.194,1428,Duluth,WBAN:14913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/1/1948,3/23/2020,0.994
DRO,Durango La Plata County Airport,37.152,-107.754,6685,Durango,WBAN:93005,"DURANGO LA PLATA CO AIRPORT, CO US",1/1/2005,3/23/2020,1.138
DRT,Del Rio International Airport,29.374,-100.927,1002,Del Rio,WBAN:22010,"DEL RIO INTERNATIONAL AIRPORT, TX US",5/1/1951,3/23/2020,0.488
DSM,Des Moines International Airport,41.534,-93.663,958,Des Moines,WBAN:14933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/1/1945,3/23/2020,0.755
DTW,Detroit Metropolitan Wayne County Airport,42.212,-83.353,645,Detroit,WBAN:94847,"DETROIT METRO AIRPORT, MI US",8/1/1942,3/23/2020,2.821
DUT,Unalaska Airport,53.9,-166.544,22,Unalaska,WBAN:25616," DUTCH HARBOR, AK US",2/24/2005,3/23/2020,0
DVL,Devils Lake Regional Airport,48.114,-98.909,1456,Devils Lake,WBAN:94928,"DEVILS LAKE MUNICIPAL AIRPORT, ND US",1/1/2005,3/23/2020,0.733
EAR,Kearney Regional Airport,40.727,-99.007,2131,Kearney,WBAN:14905,"KEARNEY MUNICIPAL AIRPORT, NE US",1/1/2005,3/23/2020,0.549
EAT,Pangborn Memorial Airport,47.399,-120.207,1249,Wenatchee,WBAN:94239,"WENATCHEE PANGBORN MEMORIAL AIRPORT, WA US",1/1/2000,3/23/2020,0.454
EAU,Chippewa Valley Regional Airport,44.866,-91.484,913,Eau Claire,WBAN:14991,"CHIPPEWA VALLEY REGIONAL AIRPORT, WI US",10/1/1949,3/23/2020,0.313
ECP,Northwest Florida Beaches International Airport,30.357,-85.795,69,Panama City Beach,WBAN:73805,"NORTHWEST FLORIDA BEACHES INTERNATIONAL AIRPORT, FL US",5/23/2010,3/23/2020,1.113
EFD,Ellington Airport,29.607,-95.159,32,Houston,WBAN:12906,"HOUSTON ELLINGTON AFB, TX US",7/1/1941,3/23/2020,1.304
EGE,Eagle County Regional Airport,39.643,-106.918,6548,Eagle,WBAN:23063,"EAGLE CO AIRPORT, CO US",1/1/1948,3/23/2020,0.786
EKO,Elko Regional Airport,40.825,-115.792,5140,Elko,WBAN:24121,"ELKO REGIONAL AIRPORT, NV US",1/1/1948,3/23/2020,0.51
ELM,Elmira Corning Regional Airport,42.16,-76.892,954,Elmira/Corning,WBAN:14748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",2/1/1949,3/23/2020,0.062
ELP,El Paso International Airport,31.807,-106.378,3959,El Paso,WBAN:23044,"EL PASO INTERNATIONAL AIRPORT, TX US",4/1/1941,3/23/2020,0.5
ERI,Erie International Tom Ridge Field,42.083,-80.174,732,Erie,WBAN:14860,"ERIE INTERNATIONAL AIRPORT, PA US",1/1/1948,3/23/2020,0.757
ESC,Delta County Airport,45.723,-87.094,609,Escanaba,WBAN:94853,"ESCANABA DELTA CO AIRPORT, MI US",1/1/2005,3/23/2020,1.417
EUG,Mahlon Sweet Field,44.125,-123.212,374,Eugene,WBAN:24221,"EUGENE MAHLON SWEET FIELD, OR US",1/1/1948,3/23/2020,0.755
EVV,Evansville Regional Airport,38.037,-87.532,418,Evansville,WBAN:93817,"EVANSVILLE REGIONAL AIRPORT, IN US",1/1/1948,3/23/2020,1.281
EWN,Coastal Carolina Regional Airport,35.073,-77.043,18,New Bern,WBAN:93719,"NEW BERN ASOS, NC US",1/1/1949,3/23/2020,0.744
EWR,Newark Liberty International Airport,40.693,-74.169,18,Newark,WBAN:14734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/1/1948,3/23/2020,1.166
EYW,Key West International Airport,24.556,-81.76,3,Key West,WBAN:12836,"KEY WEST INTERNATIONAL AIRPORT, FL US",1/1/1948,3/23/2020,0.482
FAI,Fairbanks International Airport,64.815,-147.856,439,Fairbanks,WBAN:26411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/1/1946,3/23/2020,0.885
FAR,Hector International Airport,46.921,-96.816,902,Fargo,WBAN:14914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",1/1/1948,3/23/2020,0.606
FAT,Fresno Yosemite International Airport,36.776,-119.718,336,Fresno,WBAN:93193,"FRESNO YOSEMITE INTERNATIONAL, CA US",12/4/1941,3/23/2020,0.461
FAY,Fayetteville Regional Grannis Field,34.991,-78.88,189,Fayetteville,WBAN:93740,"FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD, NC US",1/1/2005,3/23/2020,0.05
FCA,Glacier Park International Airport,48.311,-114.256,2977,Kalispell,WBAN:24146,"KALISPELL GLACIER AIRPORT, MT US",1/1/1948,3/23/2020,0.943
FLG,Flagstaff Pulliam Airport,35.139,-111.671,7014,Flagstaff,WBAN:03103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",1/1/1948,3/23/2020,0.71
FLL,Fort Lauderdale Hollywood International Airport,26.073,-80.153,9,Fort Lauderdale,WBAN:12849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",1/1/1946,3/23/2020,1.117
FLO,Florence Regional Airport,34.185,-79.724,146,Florence,WBAN:13744,"FLORENCE REGIONAL AIRPORT, SC US",1/1/1948,3/23/2020,0.7
