iata_code,airport_name,latitude_deg,longitude_deg,elevation_ft,city
JMS,Jamestown Regional Airport,46.93,-98.678,1500.0,Jamestown
JNU,Juneau International Airport,58.355,-134.576,21.0,Juneau
KOA,Ellison Onizuka Kona International At Keahole Airport,19.739,-156.046,47.0,Kailua/Kona
KTN,Ketchikan International Airport,55.356,-131.714,89.0,Ketchikan
LAN,Capital City Airport,42.779,-84.587,861.0,Lansing
LAR,Laramie Regional Airport,41.312,-105.675,7284.0,Laramie
LAS,McCarran International Airport,36.08,-115.152,2181.0,Las Vegas
LAW,Lawton Fort Sill Regional Airport,34.568,-98.417,1110.0,Lawton
LAX,Los Angeles International Airport,33.943,-118.408,125.0,Los Angeles
LBB,Lubbock Preston Smith International Airport,33.664,-101.823,3282.0,Lubbock
LBE,Arnold Palmer Regional Airport,40.276,-79.405,1199.0,Latrobe
LBF,North Platte Regional Airport Lee Bird Field,41.126,-100.684,2777.0,North Platte
LBL,Liberal Mid-America Regional Airport,37.044,-100.96,2885.0,Liberal
LCH,Lake Charles Regional Airport,30.126,-93.223,15.0,Lake Charles
LCK,Rickenbacker International Airport,39.814,-82.928,744.0,Columbus
LEX,Blue Grass Airport,38.036,-84.606,979.0,Lexington
LFT,Lafayette Regional Airport,30.205,-91.988,42.0,Lafayette
LGA,La Guardia Airport,40.777,-73.873,21.0,New York
LGB,Long Beach /Daugherty Field/ Airport,33.818,-118.152,60.0,Long Beach
LIH,Lihue Airport,21.976,-159.339,153.0,Lihue
LIT,Bill & Hillary Clinton National Airport/Adams Field,34.729,-92.224,262.0,Little Rock
LMT,Crater Lake-Klamath Regional Airport,42.156,-121.733,4095.0,Klamath Falls
LNK,Lincoln Airport,40.851,-96.759,1219.0,Lincoln
LNY,Lanai Airport,20.786,-156.951,1308.0,Lanai City
LRD,Laredo International Airport,27.544,-99.462,508.0,Laredo
LSE,La Crosse Municipal Airport,43.879,-91.257,655.0,La Crosse
LWB,Greenbrier Valley Airport,37.858,-80.399,2302.0,Lewisburg
LWS,Lewiston Nez Perce County Airport,46.375,-117.015,1442.0,Lewiston
LYH,Lynchburg Regional Preston Glenn Field,37.327,-79.2,938.0,Lynchburg
MAF,Midland International Airport,31.942,-102.202,2871.0,Midland
MBS,MBS International Airport,43.533,-84.08,668.0,Saginaw
MCI,Kansas City International Airport,39.298,-94.714,1026.0,Kansas City
MCN,Middle Georgia Regional Airport,32.693,-83.649,354.0,Macon
MCO,Orlando International Airport,28.429,-81.309,96.0,Orlando
MDT,Harrisburg International Airport,40.194,-76.763,310.0,Harrisburg
MDW,Chicago Midway International Airport,41.786,-87.752,620.0,Chicago
MEI,Key Field,32.333,-88.752,297.0,Meridian
MEM,Memphis International Airport,35.042,-89.977,341.0,Memphis
MFE,Mc Allen Miller International Airport,26.176,-98.239,107.0,Mc Allen
MFR,Rogue Valley International Medford Airport,42.374,-122.873,1335.0,Medford
MGM,Montgomery Regional (Dannelly Field) Airport,32.301,-86.394,221.0,Montgomery
MHK,Manhattan Regional Airport,39.141,-96.671,1057.0,Manhattan
MHT,Manchester-Boston Regional Airport,42.933,-71.436,266.0,Manchester
MIA,Miami International Airport,25.793,-80.291,8.0,Miami
MKC,Charles B. Wheeler Downtown Airport,39.123,-94.593,759.0,Kansas City
MKE,General Mitchell International Airport,42.947,-87.897,723.0,Milwaukee
MKG,Muskegon County Airport,43.169,-86.238,629.0,Muskegon
MKK,Molokai Airport,21.153,-157.096,454.0,Kaunakakai
MLB,Melbourne International Airport,28.103,-80.645,33.0,Melbourne
MLI,Quad City International Airport,41.449,-90.507,590.0,Moline
MLU,Monroe Regional Airport,32.511,-92.038,79.0,Monroe
MMH,Mammoth Yosemite Airport,37.624,-118.838,7135.0,Mammoth Lakes
MOB,Mobile Regional Airport,30.691,-88.243,219.0,Mobile
MOD,Modesto City Co-Harry Sham Field,37.626,-120.954,97.0,Modesto
MOT,Minot International Airport,48.259,-101.28,1716.0,Minot
MQT,Sawyer International Airport,46.354,-87.395,1221.0,Marquette
MRY,Monterey Peninsula Airport,36.587,-121.843,257.0,Monterey
MSN,Dane County Regional Truax Field,43.14,-89.338,887.0,Madison
MSO,Missoula International Airport,46.916,-114.091,3206.0,Missoula
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.882,-93.222,841.0,Minneapolis
MSY,Louis Armstrong New Orleans International Airport,29.993,-90.258,4.0,New Orleans
MTH,The Florida Keys Marathon Airport,24.726,-81.051,5.0,Marathon
MTJ,Montrose Regional Airport,38.51,-107.894,5759.0,Montrose
MVY,Martha's Vineyard Airport,41.393,-70.614,67.0,Martha's Vineyard
MWH,Grant County International Airport,47.208,-119.32,1189.0,Moses Lake
MYR,Myrtle Beach International Airport,33.68,-78.928,25.0,Myrtle Beach
OAJ,Albert J Ellis Airport,34.829,-77.612,94.0,Jacksonville
OAK,Metropolitan Oakland International Airport,37.721,-122.221,9.0,Oakland
OGD,Ogden Hinckley Airport,41.196,-112.012,4473.0,Ogden
OGG,Kahului Airport,20.899,-156.43,54.0,Kahului
OGS,Ogdensburg International Airport,44.682,-75.465,297.0,Ogdensburg
OKC,Will Rogers World Airport,35.393,-97.601,1295.0,Oklahoma City
OMA,Eppley Airfield,41.303,-95.894,984.0,Omaha
OME,Nome Airport,64.512,-165.445,37.0,Nome
ONT,Ontario International Airport,34.056,-117.601,944.0,Ontario
ORD,Chicago O'Hare International Airport,41.979,-87.905,672.0,Chicago
ORF,Norfolk International Airport,36.895,-76.201,26.0,Norfolk
ORH,Worcester Regional Airport,42.267,-71.876,1009.0,Worcester
OTH,Southwest Oregon Regional Airport,43.417,-124.246,17.0,North Bend
OTZ,Ralph Wien Memorial Airport,66.885,-162.599,14.0,Kotzebue
OWB,Owensboro Daviess County Airport,37.74,-87.167,407.0,Owensboro
OXR,Oxnard Airport,34.201,-119.207,45.0,Oxnard
PAE,Snohomish County (Paine Field) Airport,47.906,-122.282,606.0,Everett
PAH,Barkley Regional Airport,37.061,-88.774,410.0,Paducah
PBG,Plattsburgh International Airport,44.651,-73.468,234.0,Plattsburgh
PBI,Palm Beach International Airport,26.683,-80.096,19.0,West Palm Beach
PDX,Portland International Airport,45.589,-122.598,31.0,Portland
PGD,Charlotte County Airport,26.92,-81.991,26.0,Punta Gorda
PGV,Pitt Greenville Airport,35.635,-77.385,26.0,Greenville
PHF,Newport News Williamsburg International Airport,37.132,-76.493,42.0,Newport News
PHL,Philadelphia International Airport,39.872,-75.241,36.0,Philadelphia
PHX,Phoenix Sky Harbor International Airport,33.434,-112.012,1135.0,Phoenix
PIA,General Wayne A. Downing Peoria International Airport,40.664,-89.693,660.0,Peoria
PIB,Hattiesburg Laurel Regional Airport,31.467,-89.337,298.0,Hattiesburg/Laurel
PIE,St Petersburg Clearwater International Airport,27.91,-82.687,11.0,St Petersburg-Clearwater
PIH,Pocatello Regional Airport,42.91,-112.596,4452.0,Pocatello
PIR,Pierre Regional Airport,44.383,-100.286,1744.0,Pierre
PIT,Pittsburgh International Airport,40.492,-80.233,1203.0,Pittsburgh
PLN,Pellston Regional Airport of Emmet County Airport,45.571,-84.797,721.0,Pellston
PMD,Palmdale Regional/USAF Plant 42 Airport,34.629,-118.085,2543.0,Palmdale
PNS,Pensacola International Airport,30.473,-87.187,121.0,Pensacola
PQI,Presque Isle International Airport,46.689,-68.045,534.0,Presque Isle
PRC,Prescott Regional Airport - Ernest A. Love Field,34.654,-112.42,5045.0,Prescott
PSC,Tri Cities Airport,46.265,-119.119,410.0,Pasco
PSG,Petersburg James A Johnson Airport,56.802,-132.945,111.0,Petersburg
PSM,Portsmouth International at Pease Airport,43.078,-70.823,100.0,Portsmouth
PSP,Palm Springs International Airport,33.83,-116.507,477.0,Palm Springs
PUB,Pueblo Memorial Airport,38.289,-104.497,4726.0,Pueblo
PUW,Pullman Moscow Regional Airport,46.744,-117.11,2556.0,Pullman/Moscow
PVD,Theodore Francis Green State Airport,41.733,-71.42,55.0,Providence
PVU,Provo Municipal Airport,40.219,-111.723,4497.0,Provo
PWM,Portland International Jetport,43.646,-70.309,76.0,Portland
RAP,Rapid City Regional Airport,44.045,-103.057,3204.0,Rapid City
RCA,Ellsworth Air Force Base,44.145,-103.104,3276.0,Rapid City
RDD,Redding Municipal Airport,40.509,-122.293,505.0,Redding
RDM,Roberts Field,44.254,-121.15,3080.0,Redmond
RDU,Raleigh Durham International Airport,35.878,-78.787,435.0,Raleigh/Durham
RFD,Chicago Rockford International Airport,42.195,-89.097,742.0,Chicago/Rockford
RHI,Rhinelander Oneida County Airport,45.631,-89.467,1624.0,Rhinelander
RIC,Richmond International Airport,37.505,-77.32,167.0,Richmond
RIW,Riverton Regional Airport,43.064,-108.46,5525.0,Riverton
RKS,Southwest Wyoming Regional Airport,41.594,-109.065,6764.0,Rock Springs
RNO,Reno Tahoe International Airport,39.499,-119.768,4415.0,Reno
ROA,Roanoke–Blacksburg Regional Airport,37.326,-79.975,1175.0,Roanoke
ROC,Greater Rochester International Airport,43.119,-77.672,559.0,Rochester
ROW,Roswell International Air Center Airport,33.302,-104.531,3671.0,Roswell
RST,Rochester International Airport,43.908,-92.5,1317.0,Rochester
RSW,Southwest Florida International Airport,26.536,-81.755,30.0,Fort Myers
SAF,Santa Fe Municipal Airport,35.617,-106.089,6348.0,Santa Fe
SAN,San Diego International Airport,32.734,-117.19,17.0,San Diego
SAT,San Antonio International Airport,29.534,-98.47,809.0,San Antonio
SAV,Savannah Hilton Head International Airport,32.128,-81.202,50.0,Savannah
SBA,Santa Barbara Municipal Airport,34.426,-119.84,13.0,Santa Barbara
SBN,South Bend Regional Airport,41.709,-86.317,799.0,South Bend
SBP,San Luis County Regional Airport,35.237,-120.642,212.0,San Luis Obispo
SBY,Salisbury Ocean City Wicomico Regional Airport,38.34,-75.51,52.0,Salisbury
SCC,Deadhorse Airport,70.195,-148.465,65.0,Deadhorse
SCE,University Park Airport,40.849,-77.849,1239.0,State College
SCK,Stockton Metropolitan Airport,37.894,-121.238,33.0,Stockton
SDF,Louisville Muhammad Ali International Airport,38.174,-85.736,501.0,Louisville
SEA,Seattle Tacoma International Airport,47.449,-122.309,433.0,Seattle
SFB,Orlando Sanford International Airport,28.778,-81.238,55.0,Orlando
SFO,San Francisco International Airport,37.619,-122.375,13.0,San Francisco
SGF,Springfield Branson National Airport,37.246,-93.389,1268.0,Springfield
SGU,St George Municipal Airport,37.036,-113.51,2941.0,St George
SHD,Shenandoah Valley Regional Airport,38.264,-78.896,1201.0,Staunton/Waynesboro/Harrisonburg
SHR,Sheridan County Airport,44.769,-106.98,4021.0,Sheridan
SHV,Shreveport Regional Airport,32.447,-93.826,258.0,Shreveport
SIT,Sitka Rocky Gutierrez Airport,57.047,-135.362,21.0,Sitka
SJC,Norman Y. Mineta San Jose International Airport,37.363,-121.929,62.0,San Jose
SJT,San Angelo Regional Mathis Field,31.358,-100.496,1919.0,San Angelo
SKA,Fairchild Air Force Base,47.615,-117.656,2461.0,Spokane
SLC,Salt Lake City International Airport,40.788,-111.978,4227.0,Salt Lake City
SLE,Salem Municipal Airport/McNary Field,44.91,-123.003,214.0,Salem
SLN,Salina Municipal Airport,38.791,-97.652,1288.0,Salina
SMF,Sacramento International Airport,38.695,-121.591,27.0,Sacramento
SMX,Santa Maria Pub/Capt G Allan Hancock Field,34.899,-120.457,261.0,Santa Maria
SNA,John Wayne Airport-Orange County Airport,33.676,-117.868,56.0,Santa Ana
SOP,Moore County Airport,35.237,-79.391,455.0,Pinehurst/Southern Pines
SPI,Abraham Lincoln Capital Airport,39.844,-89.678,598.0,Springfield
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,33.989,-98.492,1019.0,Wichita Falls
SRQ,Sarasota Bradenton International Airport,27.395,-82.554,30.0,Sarasota/Bradenton
STC,St Cloud Regional Airport,45.547,-94.06,1031.0,St Cloud
STL,St Louis Lambert International Airport,38.749,-90.37,618.0,St Louis
STS,Charles M. Schulz Sonoma County Airport,38.509,-122.813,128.0,Santa Rosa
SUN,Friedman Memorial Airport,43.504,-114.296,5318.0,Hailey
SUX,Sioux Gateway Airport/Brigadier General Bud Day Field,42.403,-96.384,1098.0,Sioux City
SWF,New York Stewart International Airport,41.504,-74.105,491.0,Newburgh
SWO,Stillwater Regional Airport,36.161,-97.086,1000.0,Stillwater
SYR,Syracuse Hancock International Airport,43.111,-76.106,421.0,Syracuse
TEX,Telluride Regional Airport,37.954,-107.908,9070.0,Telluride
TLH,Tallahassee Regional Airport,30.396,-84.35,81.0,Tallahassee
TOL,Toledo Express Airport,41.587,-83.808,683.0,Toledo
TPA,Tampa International Airport,27.976,-82.533,26.0,Tampa
TRI,Tri-Cities Regional TN/VA Airport,36.475,-82.407,1519.0,Bristol/Johnson/Kingsport
TTN,Trenton Mercer Airport,40.277,-74.813,213.0,Trenton
TUL,Tulsa International Airport,36.198,-95.888,677.0,Tulsa
TUP,Tupelo Regional Airport,34.268,-88.77,346.0,Tupelo
TUS,Tucson International Airport,32.116,-110.941,2643.0,Tucson
TVC,Cherry Capital Airport,44.741,-85.582,624.0,Traverse City
TWF,Joslin Field Magic Valley Regional Airport,42.482,-114.488,4154.0,Twin Falls
TXK,Texarkana Regional Webb Field,33.454,-93.991,390.0,Texarkana
TYR,Tyler Pounds Regional Airport,32.354,-95.402,544.0,Tyler
TYS,McGhee Tyson Airport,35.811,-83.994,981.0,Knoxville
UIN,Quincy Regional Baldwin Field,39.943,-91.195,768.0,Quincy
USA,Concord-Padgett Regional Airport,35.388,-80.709,705.0,Concord
UST,Northeast Florida Regional Airport,29.959,-81.34,10.0,St Augustine
UTM,Tunica Municipal Airport,34.681,-90.347,194.0,Tunica
VCT,Victoria Regional Airport,28.853,-96.919,115.0,Victoria
VEL,Vernal Regional Airport,40.441,-109.51,5278.0,Vernal
VIS,Visalia Municipal Airport,36.319,-119.393,295.0,Visalia
VLD,Valdosta Regional Airport,30.782,-83.277,203.0,Valdosta
VPS,Destin-Ft Walton Beach Airport,30.483,-86.525,87.0,Valparaiso
WRG,Wrangell Airport,56.484,-132.37,49.0,Wrangell
WYS,Yellowstone Airport,44.688,-111.118,6649.0,West Yellowstone
XNA,Northwest Arkansas Regional Airport,36.282,-94.307,1287.0,Fayetteville/Springdale/Rogers
XWA,Williston Basin International Airport,48.258,-103.749,2344.0,Williston
YAK,Yakutat Airport,59.503,-139.66,33.0,Yakutat
YKM,Yakima Air Terminal McAllister Field,46.568,-120.544,1099.0,Yakima
YNG,Youngstown Warren Regional Airport,41.261,-80.679,1192.0,Youngstown/Warren
YUM,Yuma MCAS/Yuma International Airport,32.657,-114.606,213.0,Yuma
